cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
3,163,(hyp:tok:structure AND pre:tok:some),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.25332117,0.085524894,-0.060655687
3,164,pre:tok:in,pre,pre:tok,0.0,1,-0.0015966669,-0.023462098,-0.004886586
3,165,(hyp:tok:lemons AND pre:tok:something),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.051729437,-0.058012173,0.08128264
3,166,pre:tok:in,pre,pre:tok,0.0,1,0.013000044,-0.028395733,-0.06987498
3,167,pre:tok:in,pre,pre:tok,0.0,1,0.036970306,0.015462908,-0.022495331
3,168,pre:tok:in,pre,pre:tok,0.0,1,-0.024423728,0.0023050075,0.03357357
3,169,pre:tok:in,pre,pre:tok,0.0,1,-0.013789192,-0.005527775,-0.019280791
3,170,(hyp:tok:sport AND pre:tok:play),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,0.0883124,-0.09198287,-0.11333977
3,171,((((NOT oth:overlap:overlap25) AND (hyp:tok:there AND hyp:tok:this)) AND (NOT pre:tok:front)) AND pre:tok:in),((((NOT oth) AND (hyp AND hyp)) AND (NOT pre)) AND pre),((((NOT oth:overlap) AND (hyp:tok AND hyp:tok)) AND (NOT pre:tok)) AND pre:tok),0.3333333333333333,7,0.03275072,-0.010960234,-0.19183034
3,172,pre:tok:in,pre,pre:tok,0.0,1,-0.074928164,0.015890753,0.018604869
3,173,(((((NOT pre:tok:running) AND hyp:tok:running) OR hyp:tok:image) OR hyp:tok:moon) OR hyp:tok:pushes),(((((NOT pre) AND hyp) OR hyp) OR hyp) OR hyp),(((((NOT pre:tok) AND hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.11618257261410789,6,-0.085571446,-0.023009343,0.03297216
3,174,pre:tok:in,pre,pre:tok,0.0,1,0.045036357,-0.022107106,-0.016550107
3,175,pre:tok:in,pre,pre:tok,0.0,1,0.007010473,-0.0333985,0.0011862116
3,176,(hyp:tok:field AND pre:tok:winter),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,-0.11393529,-0.10406613,0.052865017
3,177,(hyp:tok:lemons AND pre:tok:something),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.035102468,0.029758822,-0.026929472
3,178,pre:tok:in,pre,pre:tok,0.0,1,-0.005720577,0.030373879,-0.029933859
