NOT pre:tok:adult,0,1,0,0,0,0
NOT pre:tok:after,1,0,0,0,1,0
NOT pre:tok:against,1,1,1,1,0,0
NOT pre:tok:air,4,2,8,7,12,12
NOT pre:tok:all,0,0,1,1,1,0
NOT pre:tok:along,0,1,2,0,0,0
NOT pre:tok:and,1,0,0,0,0,0
NOT pre:tok:another,3,2,3,2,0,0
NOT pre:tok:area,0,0,1,0,2,2
NOT pre:tok:arm,0,0,0,0,0,2
NOT pre:tok:around,1,2,1,1,1,1
NOT pre:tok:as,4,2,3,2,1,2
NOT pre:tok:asian,7,9,5,4,6,3
NOT pre:tok:at,2,1,4,1,1,1
NOT pre:tok:away,0,0,0,0,0,1
NOT pre:tok:baby,3,3,7,4,5,7
NOT pre:tok:back,1,4,1,0,1,0
NOT pre:tok:background,0,1,1,0,1,3
NOT pre:tok:bag,0,0,0,0,1,1
NOT pre:tok:ball,24,22,24,32,16,20
NOT pre:tok:band,3,2,3,2,4,2
NOT pre:tok:baseball,11,14,17,12,8,7
NOT pre:tok:basketball,2,3,5,4,5,3
NOT pre:tok:be,1,2,1,3,3,4
NOT pre:tok:beach,30,30,23,25,12,17
NOT pre:tok:bed,1,2,3,2,1,1
NOT pre:tok:behind,0,0,1,3,1,1
NOT pre:tok:being,2,1,1,2,2,0
NOT pre:tok:bench,10,6,4,7,6,5
NOT pre:tok:beside,0,0,0,0,1,0
NOT pre:tok:between,0,0,1,0,0,0
NOT pre:tok:bicycle,6,4,6,6,8,8
NOT pre:tok:bike,7,7,4,5,7,6
NOT pre:tok:bikes,0,0,0,0,0,1
NOT pre:tok:black,22,19,20,16,27,16
NOT pre:tok:blond,11,9,7,3,4,3
NOT pre:tok:blue,25,19,22,14,31,16
NOT pre:tok:boat,1,2,4,2,3,3
NOT pre:tok:body,1,0,0,1,0,1
NOT pre:tok:book,0,1,1,3,1,0
NOT pre:tok:boots,1,0,1,0,0,0
NOT pre:tok:boy,13,14,11,12,13,10
NOT pre:tok:boys,3,5,2,3,2,3
NOT pre:tok:brick,0,0,0,1,0,0
NOT pre:tok:brown,7,10,17,11,11,9
NOT pre:tok:building,5,2,3,3,14,6
NOT pre:tok:bus,0,0,1,0,0,1
NOT pre:tok:busy,0,1,0,0,0,0
NOT pre:tok:by,2,0,0,0,0,0
NOT pre:tok:camera,3,7,5,5,4,5
NOT pre:tok:cap,0,1,1,1,1,1
NOT pre:tok:car,13,7,18,7,14,8
NOT pre:tok:carries,0,0,0,0,0,1
NOT pre:tok:carrying,3,0,1,0,1,0
NOT pre:tok:cart,1,0,1,0,1,0
NOT pre:tok:cellphone,1,0,1,1,1,0
NOT pre:tok:chair,1,0,0,1,1,0
NOT pre:tok:chairs,0,0,1,0,0,0
NOT pre:tok:child,2,9,12,7,11,7
